name,category,price,description
Lunar Glow Foundation,Face,42,"A lightweight, buildable foundation with a dewy finish. Infused with hyaluronic acid for all-day hydration. Available in 24 shades. Best for normal to dry skin."
Midnight Matte Lipstick,Lips,28,"Long-wearing matte lipstick that lasts up to 12 hours. Enriched with vitamin E. Available in 18 bold and neutral shades. Transfer-proof formula."
Stardust Setting Powder,Face,35,"Ultra-fine translucent setting powder that blurs pores and locks in makeup. Oil-free formula perfect for oily and combination skin. Gives a soft-focus finish."
Eclipse Eye Palette,Eyes,52,"12-shade eyeshadow palette with a mix of mattes, shimmers, and metallics. Highly pigmented, blendable formula. Inspired by the night sky. Includes a mirror and dual-ended brush."
Cosmic Blush Duo,Face,32,"Two complementary blush shades in one compact — one matte, one shimmer. Buildable color with a natural flush. Works on all skin tones."
Nova Hydrating Primer,Face,30,"Silicone-free hydrating primer that smooths skin and extends makeup wear. Contains squalane and niacinamide. Great for dry and sensitive skin."
Twilight Mascara,Eyes,24,"Volumizing and lengthening mascara with a curved brush. Smudge-proof and flake-free. Buildable from natural to dramatic. Easy to remove with warm water."
Moonbeam Highlighter,Face,34,"Cream-to-powder highlighter with a lit-from-within glow. Can be applied with fingers or brush. Available in 4 shades. Buildable without glitter chunks."
Nebula Lip Gloss,Lips,22,"Non-sticky lip gloss with a high-shine finish. Infused with peptides for plumping effect. Available in 10 shades from clear to tinted. Vanilla-mint scent."
Dark Matter Contour Kit,Face,38,"3-shade contour palette with a matte bronzer, contour shade, and highlight. Includes an angled brush. Blendable and buildable. Works on light to deep skin tones."
